Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
e2d11cbc-f6d5-499b-a964-8e01947a1f83,1983-08-10,,999-83-6585,S99949352,X86223440X,Mr.,Abraham100,Jacobs452,,,S,white,nonhispanic,M,Lynn  Massachusetts  US,166 Pouros Fort Apt 61,Revere,Massachusetts,Suffolk County,,42.44357229109092,-70.97897077353436,922737.35,3352.2
28887562-4e6c-4f62-b2f3-cc953ddff93c,1989-02-18,,999-98-8986,S99949304,X52621451X,Mr.,Miles206,Gutkowski940,,,M,white,nonhispanic,M,Newbury  Massachusetts  US,960 Prohaska Ranch,North Adams,Massachusetts,Berkshire County,,42.67670367875231,-73.07768218284023,709896.11,3259.68
24d68ac0-caae-418b-bee0-98a6d6877bf3,1992-02-27,,999-65-7753,S99998440,X242757X,Mr.,Bryce11,Smith67,,,M,black,nonhispanic,M,Gloucester  Massachusetts  US,432 Konopelski Hollow,Newton,Massachusetts,Middlesex County,02459,42.36964679263937,-71.17812588292641,705937.61,3799.68
f71f44d8-9405-45bb-8042-4d51a13d8e12,1996-07-14,,999-76-4196,S99925808,X57194429X,Mr.,Jewel43,Schultz619,,,,white,nonhispanic,M,Larissa  Larissa Prefecture  GR,915 Jakubowski Meadow,West Newbury,Massachusetts,Essex County,,42.771873808251804,-70.98283408622834,625896.25,3143.12
ca2a41a4-860e-4b23-988c-08cf2fd7995a,2007-04-25,,999-72-6694,,,,Francisco472,Prosacco716,,,,white,nonhispanic,M,Medford  Massachusetts  US,912 Schuster Meadow,Townsend,Massachusetts,Middlesex County,01469,42.64796136480656,-71.6650885997003,275719.77,2929.0
1c285a39-696d-4911-984d-2e24f200efac,2003-09-07,,999-25-1773,S99944412,,,Brigitte394,Jaskolski867,,,,black,hispanic,F,Norfolk  Massachusetts  US,976 Braun Gate Suite 74,Chelsea,Massachusetts,Suffolk County,02149,42.462211638189686,-71.03044291801604,52527.42,13633.109999999999
a623badb-f1ab-4201-b0b3-f7bdbb14c199,1970-02-09,,999-62-4132,S99995048,X50981120X,Mrs.,Amalia471,Blanco851,,Villalpando154,M,white,hispanic,F,Carolina  Puerto Rico  PR,1027 Satterfield Spur Unit 67,Richmond,Massachusetts,Berkshire County,,42.33919247843081,-73.37503177482674,1104043.68,21573.57
0b377dfa-6261-459e-aa09-5432bf568e44,1978-02-20,,999-85-1774,S99912987,X47921453X,Ms.,Elizabet136,Morissette863,,,S,white,nonhispanic,F,Montague  Massachusetts  US,1071 Deckow Bridge Unit 28,Sturbridge,Massachusetts,Worcester County,01566,42.05927932776933,-72.10039854508233,842902.3200000001,10288.119999999999
98aee9bf-9d7e-4b63-adb2-0a3722b31943,2009-02-09,,999-63-7725,,,,Rutha66,Walter473,,,,white,nonhispanic,F,Peabody  Massachusetts  US,1046 McKenzie Hollow Suite 80,Acushnet,Massachusetts,Bristol County,,41.75417229171629,-70.88477870975731,238262.02,2929.96
cf8642de-27e8-48a8-a4e9-dc128428ca13,2001-04-02,,999-61-9847,S99912221,,Ms.,Vida128,Cummings51,,,,white,nonhispanic,F,Lynnfield  Massachusetts  US,168 Macejkovic Trace Unit 70,Falmouth,Massachusetts,Barnstable County,02540,41.63626575569456,-70.64582402958514,376698.56,3343.8799999999997
