Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
a687f08b-d39e-38fc-87a9-c84f9ffa1e90,ef58ea08-d883-3957-8300-150554edc8fb,Robby860 Weber641,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,105
37c51dc6-9241-330f-bd82-2ad0509567bb,69176529-fd1f-3b3f-abce-a0a3626769eb,Kelley882 Goldner995,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3455
a8c07fc6-78e2-35d5-b286-d988482ec0c7,5e765f2b-e908-3888-9fc7-df2cb87beb58,Cori307 Koss676,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,1860
d2f3e223-9859-38d1-b455-24f2b5761b0c,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Rebeca548 Jaime666,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,1445
7564ccfb-980f-384b-9ddd-c297e13eaae0,e002090d-4e92-300e-b41e-7d1f21dee4c6,Velda682 Schneider199,F,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3011
209e8ef7-8c8c-3009-9050-5a3b93647964,ef6ab57c-ed94-3dbe-9861-812d515918b3,Felicitas300 Orn563,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,3128
9988eb63-e876-3710-81a4-9020e2096f90,49318f80-bd8b-3fc7-a096-ac43088b0c12,Johnathan55 Boyle917,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1577
73074d7d-e82b-3b14-a580-55a864cb0e9c,fbf6180e-b800-3ebe-b91d-93d0288c400e,Theola421 Schulist381,F,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,490
3fd8171c-61a6-3067-95e7-050abfe9dd19,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Lemuel304 Sawayn19,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,376
80e870d0-7be0-3a39-b331-c4849888c252,4bdaa4c2-c664-3089-aee2-7137abbad27f,Ivory697 Nitzsche158,M,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,1019
bf449798-7839-3ae9-91ea-de3b03ba531b,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Talitha643 Dare640,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,2344
834c48c8-82ee-378d-b6ab-09147d4238e7,5d4b9df1-93ae-3bc9-b680-03249990e558,Ivan258 Nicolas769,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,1032
0313f3ea-30e1-31e1-a2f1-3ac29be5413d,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Malcolm243 Hudson301,M,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,1609
2b3c6ec1-a840-3c17-9afd-e4b33f3c51c1,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Sang383 Moen819,M,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,791
bec3366d-ff61-3c07-9ab8-1f985d6a6095,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Tamiko523 Hegmann834,F,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,314
9729ad51-6075-309c-a1f0-9eb01919e276,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Santana368 Larkin917,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,963
